BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
L000562,HON. STEPHEN F. LYNCH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/16/2017,AP,E0496701,CRYSTAL ROCK LLC,2/7/2017,2/28/2017,WATER,20.91,2017,CRYSTAL ROCK LLC
L000562,HON. STEPHEN F. LYNCH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/26/2017,AP,E0481415,CRYSTAL ROCK LLC,12/1/2016,12/31/2016,WATER,53.94,2016,CRYSTAL ROCK LLC
L000562,HON. STEPHEN F. LYNCH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/26/2017,AP,E0481416,CRYSTAL ROCK LLC,12/29/2016,12/31/2016,WATER,27.75,2016,CRYSTAL ROCK LLC
L000562,HON. STEPHEN F. LYNCH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,E0488821,CRYSTAL ROCK LLC,11/1/2016,11/30/2016,WATER,55.11,2016,CRYSTAL ROCK LLC
M001193,HON. THOMAS MACARTHUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,19.99,2017,DEER PARK
M001193,HON. THOMAS MACARTHUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,19.99,2017,DEER PARK
M001193,HON. THOMAS MACARTHUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,19.99,2016,DEER PARK
M000087,HON. CAROLYN B. MALONEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/5/2017,AP,E0473193,HAGUE QUALITY WATER OF MD INC,12/12/2016,1/11/2017,WATER,63,2017,HAGUE QUALITY WATER OF MD INC
M000087,HON. CAROLYN B. MALONEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/26/2017,AP,E0481753,HAGUE QUALITY WATER OF MD INC,1/12/2017,2/11/2017,WATER,63,2017,HAGUE QUALITY WATER OF MD INC
M000087,HON. CAROLYN B. MALONEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/22/2017,AP,E0489102,HAGUE QUALITY WATER OF MD INC,2/12/2017,3/11/2017,WATER,63,2017,HAGUE QUALITY WATER OF MD INC
M000087,HON. CAROLYN B. MALONEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/1/2017,AP,E0491349,READYREFRESH BY NESTLE,1/17/2017,1/26/2017,WATER,106.59,2017,READYREFRESH BY NESTLE
M001158,HON. KENNY MARCHANT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/6/2017,AP,E0475467,HAGUE QUALITY WATER OF MD INC,12/24/2016,1/23/2017,WATER,63,2017,HAGUE QUALITY WATER OF MD INC
M001158,HON. KENNY MARCHANT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/31/2017,AP,E0483075,HAGUE QUALITY WATER OF MD INC,1/24/2017,2/23/2017,WATER,63,2017,HAGUE QUALITY WATER OF MD INC
M001158,HON. KENNY MARCHANT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,8,2017,DEER PARK
M001158,HON. KENNY MARCHANT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/3/2017,AP,E0492518,HAGUE QUALITY WATER OF MD INC,2/24/2017,3/23/2017,WATER,63,2017,HAGUE QUALITY WATER OF MD INC
M001158,HON. KENNY MARCHANT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,22.95,2017,DEER PARK
M001158,HON. KENNY MARCHANT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,8,2016,DEER PARK
M001179,HON. TOM MARINO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/16/2017,AP,902196,WATER TOWER SQUARE LLC,1/3/2017,2/2/2017,DISTRICT OFFICE RENT (PRIVATE),2389.71,2017,WATER TOWER SQUARE LLC
M001179,HON. TOM MARINO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/16/2017,AP,903983,WATER TOWER SQUARE LLC,2/3/2017,3/2/2017,DISTRICT OFFICE RENT (PRIVATE),2389.71,2017,WATER TOWER SQUARE LLC
M001179,HON. TOM MARINO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/16/2017,AP,909375,WATER TOWER SQUARE LLC,3/3/2017,4/2/2017,DISTRICT OFFICE RENT (PRIVATE),2389.71,2017,WATER TOWER SQUARE LLC
M001179,HON. TOM MARINO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,112.95,2017,DEER PARK
M001179,HON. TOM MARINO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,8,2017,DEER PARK
M001179,HON. TOM MARINO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,8,2016,DEER PARK
M001198,HON. ROGER W. MARSHALL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,53.93,2017,DEER PARK
M001198,HON. ROGER W. MARSHALL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,57.95,2017,DEER PARK
M001184,HON. THOMAS MASSIE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,897344,QUENCH,1/1/2017,12/31/2017,WATER,504,2017,QUENCH
M001184,HON. THOMAS MASSIE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-DS SERVICES STANDARD C,1/29/2017,2/28/2017,WATER,54.98,2017,CITI PCARD-DS SERVICES STANDARD C
M001184,HON. THOMAS MASSIE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-DS SERVICES STANDARD C,11/29/2016,12/28/2016,WATER,80.8,2016,CITI PCARD-DS SERVICES STANDARD C
M001184,HON. THOMAS MASSIE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,897345,QUENCH,12/20/2016,12/20/2016,WATER,149,2016,QUENCH
M001184,HON. THOMAS MASSIE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-DS SERVICES STANDARD C,12/29/2016,1/2/2017,WATER,17.85,2017,CITI PCARD-DS SERVICES STANDARD C
M001199,HON. BRIAN J. MAST,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/4/2017,AP,E0490944,READYREFRESH BY NESTLE,12/27/2016,1/26/2017,WATER,165.08,2017,READYREFRESH BY NESTLE
M001163,HON. DORIS MATSUI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/21/2017,AP,E0489838,ALHAMBRA,1/4/2017,1/18/2017,WATER,45.04,2017,ALHAMBRA
M001163,HON. DORIS MATSUI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,84.74,2017,DEER PARK
M001163,HON. DORIS MATSUI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/6/2017,AP,E0493874,ALHAMBRA,2/1/2017,2/15/2017,WATER,65.65,2017,ALHAMBRA
M001163,HON. DORIS MATSUI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,48.88,2017,DEER PARK
M001163,HON. DORIS MATSUI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/4/2017,AP,E0474122,ALHAMBRA,11/23/2016,11/23/2016,WATER,85.31,2016,ALHAMBRA
M001163,HON. DORIS MATSUI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,19.99,2016,DEER PARK
M001163,HON. DORIS MATSUI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/31/2017,AP,E0482757,ALHAMBRA,12/7/2016,12/21/2016,WATER,44.51,2016,ALHAMBRA
M001165,HON. KEVIN MCCARTHY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484111,HAGUE QUALITY WATER OF MD INC,1/1/2017,12/31/2017,WATER,756,2017,HAGUE QUALITY WATER OF MD INC
M001165,HON. KEVIN MCCARTHY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484116,READYREFRESH BY NESTLE,12/1/2016,12/31/2016,WATER,46.12,2016,READYREFRESH BY NESTLE
M001165,HON. KEVIN MCCARTHY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484120,ARROWHEAD DIRECT,12/1/2016,12/31/2016,WATER,54.84,2016,ARROWHEAD DIRECT
M001157,HON. MICHAEL T. MCCAUL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,67.84,2017,DEER PARK
M001157,HON. MICHAEL T. MCCAUL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,104.81,2017,DEER PARK
M001157,HON. MICHAEL T. MCCAUL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,36.93,2016,DEER PARK
M001177,HON. TOM MCCLINTOCK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/16/2017,AP,901834,ALHAMBRA,1/10/2017,1/18/2017,WATER,42.14,2017,ALHAMBRA
M001177,HON. TOM MCCLINTOCK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/22/2017,AP,902627,READYREFRESH BY NESTLE,1/20/2017,1/26/2017,WATER,244.03,2017,READYREFRESH BY NESTLE
M001177,HON. TOM MCCLINTOCK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/7/2017,AP,906955,ALHAMBRA,1/24/2017,2/15/2017,WATER,85.45,2017,ALHAMBRA
M001177,HON. TOM MCCLINTOCK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/7/2017,AP,907067,READYREFRESH BY NESTLE,1/31/2017,2/26/2017,WATER,182.03,2017,READYREFRESH BY NESTLE
M001177,HON. TOM MCCLINTOCK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/9/2017,AP,897068,ALHAMBRA,11/29/2016,12/21/2016,WATER,51.4,2016,ALHAMBRA
M001177,HON. TOM MCCLINTOCK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/31/2017,AP,901021,READYREFRESH BY NESTLE,10/27/2016,11/26/2016,WATER,226.03,2016,READYREFRESH BY NESTLE
M001177,HON. TOM MCCLINTOCK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/31/2017,AP,901023,READYREFRESH BY NESTLE,12/8/2016,12/26/2016,WATER,139.02,2016,READYREFRESH BY NESTLE
M001177,HON. TOM MCCLINTOCK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/16/2017,AP,901822,ALHAMBRA,12/27/2016,12/27/2016,WATER,29.4,2016,ALHAMBRA
M001143,HON. BETTY MCCOLLUM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/25/2017,AP,E0480457,HAGUE QUALITY WATER OF MD INC,12/17/2016,12/31/2018,WATER,1543.5,2018,HAGUE QUALITY WATER OF MD INC
M000312,HON. JAMES P. MCGOVERN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,E0499630,CRYSTAL ROCK LLC,1/6/2017,1/31/2017,WATER,23.16,2017,CRYSTAL ROCK LLC
M000312,HON. JAMES P. MCGOVERN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/28/2017,AP,E0491101,CRYSTAL ROCK LLC,12/7/2016,12/31/2016,WATER,22.46,2016,CRYSTAL ROCK LLC
M000312,HON. JAMES P. MCGOVERN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/28/2017,AP,E0491104,CRYSTAL ROCK LLC,11/7/2016,11/30/2016,WATER,34.55,2016,CRYSTAL ROCK LLC
M001156,HON. PATRICK T. MCHENRY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,53.93,2017,DEER PARK
M001156,HON. PATRICK T. MCHENRY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,88.93,2017,DEER PARK
M001156,HON. PATRICK T. MCHENRY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,62.95,2016,DEER PARK
M001159,HON. CATHY MCMORRIS RODGERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/18/2017,AP,E0477252,QUENCH,1/1/2017,1/31/2017,WATER,24.97,2017,QUENCH
M001159,HON. CATHY MCMORRIS RODGERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/23/2017,AP,E0479336,QUENCH,1/1/2017,12/31/2017,WATER,299.64,2017,QUENCH
M001159,HON. CATHY MCMORRIS RODGERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/8/2017,AP,E0483405,QUENCH,2/1/2017,2/28/2017,WATER,24.97,2017,QUENCH
M001159,HON. CATHY MCMORRIS RODGERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/7/2017,AP,E0491685,QUENCH,3/1/2017,3/31/2017,WATER,24.97,2017,QUENCH
M001166,HON. JERRY MCNERNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-DS SERVICES STANDARD C,1/3/2017,1/28/2017,WATER,21.15,2017,CITI PCARD-DS SERVICES STANDARD C
M001166,HON. JERRY MCNERNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/16/2017,AP,E0496277,ITS MY COOLER LLC,3/2/2017,3/2/2017,WATER,85,2017,ITS MY COOLER LLC
M001166,HON. JERRY MCNERNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-DS SERVICES STANDARD C,1/29/2017,2/28/2017,WATER,31.17,2017,CITI PCARD-DS SERVICES STANDARD C
M001166,HON. JERRY MCNERNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/12/2017,AP,E0478636,FIRST CHOICE COFFEE SERVICES,8/19/2016,8/19/2016,WATER,23.3,2016,FIRST CHOICE COFFEE SERVICES
M001166,HON. JERRY MCNERNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-DS SERVICES STANDARD C,11/29/2016,12/28/2016,WATER,20.62,2016,CITI PCARD-DS SERVICES STANDARD C
M001166,HON. JERRY MCNERNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/7/2017,AP,E0493562,MELTWATER NEWS US INC,1/1/2017,3/31/2017,PUBLICATIONS/REFERENCE MAT'L,3750,2017,MELTWATER NEWS US INC
M001197,HON. MARTHA MCSALLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484139,READYREFRESH BY NESTLE,12/27/2016,1/26/2017,WATER,14.1,2017,READYREFRESH BY NESTLE
M001197,HON. MARTHA MCSALLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484532,DE YOUNG FIONA M.,1/11/2017,1/11/2017,WATER,8.2,2017,DE YOUNG FIONA M.
M001197,HON. MARTHA MCSALLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/7/2017,AP,E0485369,CULLIGAN OF TUCSON,1/24/2017,2/28/2017,WATER,22.43,2017,CULLIGAN OF TUCSON
M001197,HON. MARTHA MCSALLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/8/2017,AP,E0493853,CULLIGAN OF TUCSON,2/21/2017,3/31/2017,WATER,39.72,2017,CULLIGAN OF TUCSON
M001197,HON. MARTHA MCSALLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/12/2017,AP,E0478013,CULLIGAN OF TUCSON,11/4/2016,12/31/2016,WATER,42.43,2016,CULLIGAN OF TUCSON
M001197,HON. MARTHA MCSALLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/13/2017,AP,E0478014,CULLIGAN OF TUCSON,9/15/2016,10/1/2016,WATER,23.24,2016,CULLIGAN OF TUCSON
M001197,HON. MARTHA MCSALLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/25/2017,AP,E0480836,CULLIGAN OF TUCSON,12/5/2016,12/31/2016,WATER,49.72,2016,CULLIGAN OF TUCSON
M001187,HON. MARK MEADOWS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/18/2017,AP,E0477331,QUENCH,1/1/2017,12/31/2017,WATER,360,2017,QUENCH
M001187,HON. MARK MEADOWS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/4/2017,AP,E0471410,IMPACTOFFICE,12/14/2016,12/14/2016,WATER,34.14,2016,IMPACTOFFICE
M001137,HON. GREGORY W. MEEKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,157.15,2017,DEER PARK
M001137,HON. GREGORY W. MEEKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,50.98,2017,DEER PARK
M001137,HON. GREGORY W. MEEKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,101.32,2016,DEER PARK
M001188,HON. GRACE MENG,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/18/2017,AP,E0478731,HAGUE QUALITY WATER OF MD INC,1/9/2017,2/8/2017,WATER,63,2017,HAGUE QUALITY WATER OF MD INC
M001188,HON. GRACE MENG,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/22/2017,AP,E0489097,HAGUE QUALITY WATER OF MD INC,2/9/2017,3/8/2017,WATER,63,2017,HAGUE QUALITY WATER OF MD INC
M001188,HON. GRACE MENG,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,8,2017,DEER PARK
M001188,HON. GRACE MENG,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,78.83,2017,DEER PARK
M001188,HON. GRACE MENG,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,67.85,2016,DEER PARK
M001189,HON. LUKE MESSER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/1/2017,AP,907066,INDIANA AMERICAN WATER COMPANY,1/3/2017,1/3/2017,UTILITIES,0.73,2017,INDIANA AMERICAN WATER COMPANY
M001189,HON. LUKE MESSER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/6/2017,AP,E0492240,INDIANA AMERICAN WATER COMPANY,1/4/2017,2/1/2017,UTILITIES,38.36,2017,INDIANA AMERICAN WATER COMPANY
M001189,HON. LUKE MESSER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/18/2017,AP,E0477178,PHILLIPPE WATER EQUIPMENT INC,1/1/2017,1/31/2017,WATER,15,2017,PHILLIPPE WATER EQUIPMENT INC
M001189,HON. LUKE MESSER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,E0479084,QUENCH,1/1/2017,1/31/2017,WATER,32,2017,QUENCH
M001189,HON. LUKE MESSER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/5/2017,AP,E0483158,QUENCH,2/1/2017,2/28/2017,WATER,32,2017,QUENCH
M001189,HON. LUKE MESSER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/7/2017,AP,E0483151,PHILLIPPE WATER EQUIPMENT INC,1/16/2017,1/16/2017,WATER,8.25,2017,PHILLIPPE WATER EQUIPMENT INC
M001189,HON. LUKE MESSER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/21/2017,AP,E0486499,PHILLIPPE WATER EQUIPMENT INC,1/30/2017,2/28/2017,WATER,34.73,2017,PHILLIPPE WATER EQUIPMENT INC
M001189,HON. LUKE MESSER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/3/2017,AP,E0490314,MOFFETTS WATERCARE,1/13/2017,1/13/2017,WATER,24,2017,MOFFETTS WATERCARE
M001189,HON. LUKE MESSER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/6/2017,AP,E0492239,QUENCH,3/1/2017,3/31/2017,WATER,32,2017,QUENCH
M001189,HON. LUKE MESSER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/1/2017,AP,907064,INDIANA AMERICAN WATER COMPANY,12/2/2016,1/2/2017,UTILITIES,23.22,2017,INDIANA AMERICAN WATER COMPANY
M001189,HON. LUKE MESSER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/8/2017,AP,902189,PHILLIPPE WATER EQUIPMENT INC,9/12/2016,10/31/2016,WATER,30.5,2016,PHILLIPPE WATER EQUIPMENT INC
M001189,HON. LUKE MESSER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/15/2017,AP,E0485284,PHILLIPPE WATER EQUIPMENT INC,9/26/2016,9/26/2016,WATER,15.5,2016,PHILLIPPE WATER EQUIPMENT INC
M001150,HON. CANDICE S. MILLER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,19.99,2016,DEER PARK
M001144,HON. JEFF MILLER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/2/2017,AP,E0482041,CRYSTAL SPRINGS,11/30/2016,12/23/2016,WATER,5.26,2016,CRYSTAL SPRINGS
M001144,HON. JEFF MILLER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/7/2017,AP,E0484063,KENTWOOD SPRINGS,12/31/2016,12/31/2016,WATER,2,2016,KENTWOOD SPRINGS
M001201,HON. PAUL MITCHELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/21/2017,AP,E0486658,ABSOPURE WATER COMPANY,2/1/2017,2/28/2017,WATER,12.72,2017,ABSOPURE WATER COMPANY
M001201,HON. PAUL MITCHELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,19.99,2017,DEER PARK
M001201,HON. PAUL MITCHELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,19.99,2017,DEER PARK
M001194,HON. JOHN R. MOOLENAAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/14/2017,AP,E0485211,READYREFRESH BY NESTLE,1/10/2017,1/26/2017,WATER,34.94,2017,READYREFRESH BY NESTLE
M001194,HON. JOHN R. MOOLENAAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/1/2017,AP,E0488012,SHAY WATER COMPANY INC,1/23/2017,1/23/2017,WATER,25,2017,SHAY WATER COMPANY INC
M001194,HON. JOHN R. MOOLENAAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/1/2017,AP,E0488013,SHAY WATER COMPANY INC,1/1/2017,12/31/2017,WATER,132,2017,SHAY WATER COMPANY INC
M001194,HON. JOHN R. MOOLENAAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/15/2017,AP,E0494705,READYREFRESH BY NESTLE,1/27/2017,2/26/2017,WATER,23.49,2017,READYREFRESH BY NESTLE
